School,SchoolHyphen,Latitude,Longitude
PECK,PECK,41.78789897,-87.71921626
PEIRCE,PEIRCE,41.98345579,-87.66585004
PENN,PENN,41.85837242,-87.72238555
PEREZ,PEREZ,41.85602872,-87.65798013
PERSHING,PERSHING,41.83652695,-87.61833765
PETERSON,PETERSON,41.98155714,-87.71258258
PHILLIPS HIGH SCHOOL,PHILLIPS-HIGH-SCHOOL,41.82387997,-87.61979635
PHOENIX MILITARY HIGH SCHOOL,PHOENIX-MILITARY-HIGH-SCHOOL,41.87911823,-87.68696022
PICCOLO,PICCOLO,41.90013966,-87.7312606
PICKARD,PICKARD,41.8529004,-87.68329074
PILSEN,PILSEN,41.85884888,-87.66220943
PIRIE,PIRIE,41.74034023,-87.60789114
PLAMONDON,PLAMONDON,41.8602589,-87.69252575
POE,POE,41.70263,-87.60641917
PORTAGE PARK,PORTAGE-PARK,41.95698764,-87.761007
POWELL,POWELL,41.7603318,-87.55678925
PRESCOTT,PRESCOTT,41.9288411,-87.6695275
PRIETO,PRIETO,41.92131758,-87.76578057
PRITZKER,PRITZKER,41.90705301,-87.67776098
PROSSER HIGH SCHOOL,PROSSER-HIGH-SCHOOL,41.9200594,-87.76104832
PRUSSING,PRUSSING,41.96561907,-87.77241417
PULASKI,PULASKI,41.91848628,-87.68380143
PULLMAN,PULLMAN,41.68881935,-87.60943097
RABY HIGH SCHOOL,RABY-HIGH-SCHOOL,41.88621006,-87.71542312
RANDOLPH,RANDOLPH,41.76061413,-87.67596551
RAVENSWOOD,RAVENSWOOD,41.96074569,-87.67092242
RAY,RAY,41.79234788,-87.59475207
REAVIS,REAVIS,41.80417379,-87.60492543
REILLY,REILLY,41.94109399,-87.71954054
REINBERG,REINBERG,41.9430189,-87.76898262
REVERE,REVERE,41.76419587,-87.60017682
RICHARDS HIGH SCHOOL,RICHARDS-HIGH-SCHOOL,41.80288138,-87.66227785
RICHARDSON,RICHARDSON,41.78382632,-87.7254216
RICKOVER MILITARY HIGH SCHOOL,RICKOVER-MILITARY-HIGH-SCHOOL,41.98902071,-87.66578851
ROBINSON,ROBINSON,41.81734933,-87.59906677
ROGERS,ROGERS,42.01526505,-87.69718539
ROOSEVELT HIGH SCHOOL,ROOSEVELT-HIGH-SCHOOL,41.96482788,-87.71481862
RUDOLPH,RUDOLPH,41.88356817,-87.66947671
RUGGLES,RUGGLES,41.75194558,-87.61806645
RUIZ,RUIZ,41.84810094,-87.68074453
RYDER,RYDER,41.73537939,-87.6388427
SABIN,SABIN,41.90681581,-87.68304994
SADLOWSKI,SADLOWSKI,41.70489549,-87.52804557
SALAZAR,SALAZAR,41.90141653,-87.63363243
SANDOVAL,SANDOVAL,41.79234608,-87.71098733
SAUCEDO,SAUCEDO,41.84794072,-87.69731554
SAUGANASH,SAUGANASH,41.99116925,-87.74595144
SAWYER,SAWYER,41.7974982,-87.70500578
SAYRE,SAYRE,41.91415063,-87.79872071
SCAMMON,SCAMMON,41.9416776,-87.73217878
SCHMID,SCHMID,41.71698887,-87.59693188
SCHUBERT,SCHUBERT,41.93040332,-87.76119047
SCHURZ HIGH SCHOOL,SCHURZ-HIGH-SCHOOL,41.94636454,-87.73561211
SENN HIGH SCHOOL,SENN-HIGH-SCHOOL,41.98902854,-87.66713619
SEWARD,SEWARD,41.81033324,-87.66877201
SHERIDAN,SHERIDAN,41.84440016,-87.64133981
SHERMAN,SHERMAN,41.79976621,-87.65022145
SHERWOOD,SHERWOOD,41.79080024,-87.63227938
SHIELDS,SHIELDS,41.81590949,-87.68964724
SHIELDS MIDDLE,SHIELDS-MIDDLE,41.80649141,-87.68977977
SHOESMITH,SHOESMITH,41.80429402,-87.59390494
SHOOP,SHOOP,41.69091888,-87.65866905
SIMEON HIGH SCHOOL,SIMEON-HIGH-SCHOOL,41.74578123,-87.63541037
SIMPSON HIGH SCHOOL,SIMPSON-HIGH-SCHOOL,41.86436548,-87.66872223
SKINNER,SKINNER,41.87910254,-87.65941898
SKINNER NORTH,SKINNER-NORTH,41.90510912,-87.64484149
SMITH,SMITH,41.70755762,-87.60466041
SMYSER,SMYSER,41.95886804,-87.78197454
SMYTH,SMYTH,41.86535102,-87.65344503
SOCIAL JUSTICE HIGH SCHOOL,SOCIAL-JUSTICE-HIGH-SCHOOL,41.83350728,-87.73529947
SOLOMON,SOLOMON,41.99394233,-87.72404263
