School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
GRISSOM,41.662481,-87.55330671,-9746389.520256987,5110554.0563518,0,0,0,0,0,0
GUNSAULUS,41.81300737,-87.69936419,-9762648.563990293,5133009.880716082,0,0,0,0,1,1
HAINES,41.84995832,-87.63380633,-9755350.697038438,5138530.357768954,0,1,0,0,0,0
HALE,41.78019173,-87.77657871,-9771244.045470808,5128109.888713606,0,0,0,0,3,3
HALEY,41.68665997,-87.63363214,-9755331.30576628,5114157.578408593,0,0,0,0,0,0
HAMILTON,41.94521966,-87.67086537,-9759476.090731768,5152777.142735212,0,0,0,0,1,1
HAMLINE,41.80724156,-87.66117466,-9758397.325473523,5132148.754793105,0,0,0,2,1,1
HAMMOND,41.85271913,-87.6962433,-9762301.148740945,5138942.9524977775,0,0,0,5,0,0
HAMPTON,41.75345719,-87.70873128,-9763691.304712165,5124119.772519104,0,0,0,0,1,1
HANCOCK HIGH SCHOOL,41.79146391,-87.72447046,-9765443.38220376,5129792.753930098,0,0,0,0,1,1
HANSON PARK,41.92395526,-87.76151477,-9769567.13551106,5149595.108086007,0,1,0,1,2,2
HARLAN HIGH SCHOOL,41.71837235,-87.62062344,-9753883.183914961,5118885.897817766,0,0,0,0,1,1
HARPER HIGH SCHOOL,41.77512408,-87.6690893,-9759278.378786815,5127353.417077319,0,0,0,0,0,0
HARTE,41.79344724,-87.5868546,-9750124.053888846,5130088.883900948,0,0,0,0,0,0
HARVARD,41.75734054,-87.63273687,-9755231.645659411,5124699.257132647,0,0,0,1,1,1
HAUGAN,41.96402871,-87.72312804,-9765293.94364709,5155592.641073368,0,0,0,1,3,3
HAWTHORNE,41.94227549,-87.65770888,-9758011.516307453,5152336.510235988,0,0,0,1,0,0
HAY,41.89917136,-87.75581325,-9768932.445447283,5145887.74763261,0,0,0,0,0,0
HAYT,41.99454089,-87.66850377,-9759213.198804246,5160161.730275951,0,0,0,0,1,1
HEALY,41.83959486,-87.64034075,-9756078.105222547,5136981.733656624,0,0,0,0,0,0
HEARST,41.808175,-87.74572606,-9767809.543936834,5132288.159393589,0,0,0,0,0,0
HEDGES,41.80711213,-87.67332726,-9759750.146621672,5132129.42588888,0,0,0,3,1,1
HEFFERAN,41.87866465,-87.73580189,-9766704.791118653,5142821.289400272,0,0,0,2,1,1
HENDERSON,41.79059129,-87.67188731,-9759589.851923361,5129662.466372767,0,0,0,0,0,0
HENDRICKS,41.81578775,-87.63366448,-9755334.90595929,5133425.159285068,0,0,0,0,0,0
HENRY,41.9589888,-87.71563237,-9764459.530227652,5154838.143008035,0,0,0,0,0,0
HERNANDEZ,41.79347933,-87.71136992,-9763985.036423264,5130093.674756496,0,0,0,0,0,0
HERZL,41.8620813,-87.71899385,-9764833.728767175,5140342.227595555,0,0,0,0,0,0
HIBBARD,41.97033524,-87.71036161,-9763872.792141203,5156536.841283106,0,1,0,2,0,0
HIGGINS,41.68103137,-87.64699404,-9756818.745865187,5113318.597004819,1,0,1,0,1,1
HIRSCH HIGH SCHOOL,41.75374796,-87.60172727,-9751779.671902433,5124163.159733749,0,0,0,0,0,0
HITCH,41.9836717,-87.77912305,-9771527.280444663,5158533.856899952,0,0,0,0,0,0
HOLDEN,41.83802739,-87.65379167,-9757575.454616439,5136747.52681734,0,0,0,1,0,0
HOLMES,41.79378765,-87.64979536,-9757130.5871069,5130139.710508346,0,0,0,1,0,0
HOWE,41.89361221,-87.75939839,-9769331.540558092,5145056.367079844,0,0,0,0,1,1
HOYNE,41.73333775,-87.5682281,-9748050.561948124,5121118.052142841,0,0,0,0,0,0
HUBBARD HIGH SCHOOL,41.78052639,-87.71801374,-9764724.623293832,5128159.846395159,0,1,1,3,0,0
HUGHES C,41.86051774,-87.73177739,-9766256.785125395,5140108.522839021,0,0,0,0,0,0
HUGHES L,41.70534232,-87.62986866,-9754912.357473433,5116942.837232439,0,0,0,0,1,1
HURLEY,41.76678528,-87.71954083,-9764894.618108429,5126108.77507293,0,0,1,1,0,0
HYDE PARK HIGH SCHOOL,41.78225693,-87.58661501,-9750097.383213883,5128418.187273883,0,0,0,3,2,2
INFINITY HIGH SCHOOL,41.83616882,-87.73527796,-9766646.467293259,5136469.831954186,0,0,0,0,0,0
INTER-AMERICAN,41.9490033,-87.65157334,-9757328.511677425,5153343.44411563,0,0,0,0,1,1
IRVING,41.87159549,-87.68361565,-9760895.445200136,5141764.435607576,0,0,0,0,0,0
JACKSON A,41.87429964,-87.66098467,-9758376.176107809,5142168.69743649,1,1,0,0,0,0
JACKSON M,41.73412547,-87.64676673,-9756793.442550138,5121235.558407288,0,0,0,0,3,3
JAHN,41.9392475,-87.67580972,-9760026.492774613,5151883.353398654,0,0,0,1,0,0
JAMIESON,41.98464078,-87.70052942,-9762778.277317757,5158678.984362125,0,0,0,1,1,1
JEFFERSON HIGH SCHOOL,41.86783229,-87.68041755,-9760539.434716456,5141201.875812745,0,0,0,0,0,0
JENSEN,41.87381495,-87.70224105,-9762968.815400852,5142096.23629342,0,0,0,0,2,2
JOHNSON,41.86183619,-87.70313876,-9763068.748038393,5140305.591402737,0,0,0,0,0,0
